,,,,Ozone (O3) : Map
Indicator Description: Ozone is a common air pollutant that can harm breathing and worsen asthma and other respiratory conditions.
Geography: Neighborhood (Community District)
Measure: Mean
How Calculated: <p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then assigned to the appropriate NYC neighborhood and averaged. In NYC ozone is measured in units of parts per billion (ppb).</p>
Source(s): New York City Community Air Survey

Year Description,Borough,Geography Name,Geography ID,Data Value,Notes,
Summer 2019,Bronx,Belmont and East Tremont (CD6),206,29.49,,
Summer 2019,Bronx,Fordham and University Heights (CD5),205,28.72,,
Summer 2019,Bronx,Highbridge and Concourse (CD4),204,28.49,,
Summer 2019,Bronx,Hunts Point and Longwood (CD2),202,29.73,,
Summer 2019,Bronx,Kingsbridge Heights and Bedford (CD7),207,29.23,,
Summer 2019,Bronx,Morris Park and Bronxdale (CD11),211,30.31,,
Summer 2019,Bronx,Morrisania and Crotona (CD3),203,29.2,,
Summer 2019,Bronx,Mott Haven and Melrose (CD1),201,28.47,,
Summer 2019,Bronx,Parkchester and Soundview (CD9),209,30.33,,
Summer 2019,Bronx,Riverdale and Fieldston (CD8),208,28.62,,
Summer 2019,Bronx,Throgs Neck and Co-op City (CD10),210,31.45,,
Summer 2019,Bronx,Williamsbridge and Baychester (CD12),212,30.16,,
Summer 2019,Brooklyn,Bay Ridge and Dyker Heights (CD10),310,29.74,,
Summer 2019,Brooklyn,Bedford Stuyvesant (CD3),303,29.57,,
Summer 2019,Brooklyn,Bensonhurst (CD11),311,31.62,,
Summer 2019,Brooklyn,Borough Park (CD12),312,30.39,,
Summer 2019,Brooklyn,Brownsville (CD16),316,31.63,,
Summer 2019,Brooklyn,Bushwick (CD4),304,30.49,,
Summer 2019,Brooklyn,Coney Island (CD13),313,33.61,,
Summer 2019,Brooklyn,Crown Heights and Prospect Heights (CD8),308,29.74,,
Summer 2019,Brooklyn,East Flatbush (CD17),317,31.81,,
Summer 2019,Brooklyn,East New York and Starrett City (CD5),305,32.99,,
Summer 2019,Brooklyn,Flatbush and Midwood (CD14),314,31.14,,
Summer 2019,Brooklyn,Flatlands and Canarsie (CD18),318,33.98,,
Summer 2019,Brooklyn,Fort Greene and Brooklyn Heights (CD2),302,27.51,,
Summer 2019,Brooklyn,Greenpoint and Williamsburg (CD1),301,27.86,,
Summer 2019,Brooklyn,Park Slope and Carroll Gardens (CD6),306,27.6,,
Summer 2019,Brooklyn,Sheepshead Bay (CD15),315,33.29,,
Summer 2019,Brooklyn,South Crown Heights and Lefferts Gardens (CD9),309,30.57,,
Summer 2019,Brooklyn,Sunset Park (CD7),307,28.78,,
Summer 2019,Manhattan,Central Harlem (CD10),110,27.3,,
Summer 2019,Manhattan,Clinton and Chelsea (CD4),104,24.4,,
Summer 2019,Manhattan,East Harlem (CD11),111,27.47,,
Summer 2019,Manhattan,Financial District (CD1),101,24.82,,
Summer 2019,Manhattan,Greenwich Village and Soho (CD2),102,24.93,,
Summer 2019,Manhattan,Lower East Side and Chinatown (CD3),103,25.88,,
Summer 2019,Manhattan,Midtown (CD5),105,23.05,,
Summer 2019,Manhattan,Morningside Heights and Hamilton Heights (CD9),109,26.99,,
Summer 2019,Manhattan,Stuyvesant Town and Turtle Bay (CD6),106,24.56,,
Summer 2019,Manhattan,Upper East Side (CD8),108,25.85,,
Summer 2019,Manhattan,Upper West Side (CD7),107,25.57,,
Summer 2019,Manhattan,Washington Heights and Inwood (CD12),112,27.79,,
Summer 2019,Queens,Bayside and Little Neck (CD11),411,31.78,,
Summer 2019,Queens,Elmhurst and Corona (CD4),404,30.62,,
Summer 2019,Queens,Flushing and Whitestone (CD7),407,31.28,,
Summer 2019,Queens,Hillcrest and Fresh Meadows (CD8),408,31.63,,
Summer 2019,Queens,Jackson Heights (CD3),403,30.34,,
Summer 2019,Queens,Jamaica and Hollis (CD12),412,33.07,,
Summer 2019,Queens,Kew Gardens and Woodhaven (CD9),409,32.37,,
Summer 2019,Queens,Long Island City and Astoria (CD1),401,29.41,,
Summer 2019,Queens,Queens Village (CD13),413,33.58,,
Summer 2019,Queens,Rego Park and Forest Hills (CD6),406,31.03,,
Summer 2019,Queens,Ridgewood and Maspeth (CD5),405,30.94,,
Summer 2019,Queens,Rockaway and Broad Channel (CD14),414,37.53,,
Summer 2019,Queens,South Ozone Park and Howard Beach (CD10),410,33.94,,
Summer 2019,Queens,Woodside and Sunnyside (CD2),402,28.58,,
Summer 2019,Staten Island,South Beach and Willowbrook (CD2),502,29.51,,
Summer 2019,Staten Island,St. George and Stapleton (CD1),501,27.76,,
Summer 2019,Staten Island,Tottenville and Great Kills (CD3),503,30.04,,

NYC Department of Health and Mental Hygiene
Environment & Health Data Portal
More information can be found at: http://nyc.gov/health/tracking
Accessed 01/13/2021
